Label,URI,Comment
mole concentration of chlorine nitrate in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_chlorine_nitrate_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for chlorine nitrate is ClONO2."
mole concentration of clox expressed as chlorine in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_clox_expressed_as_chlorine_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Cloxdescribes a family of chemical species consisting of inorganic chlorine compounds with theexception of  hydrogen chloride (HCl) and chlorine nitrate (ClONO2). Clox is the term used in standard names for all species belonging to the family that are representedwithin a given model. The list of individual species that are included in a quantity with a group chemical standard name can vary between models.  Where possible, the data variable should be accompanied by a complete description of the species represented, for example, byusing a comment attribute. Inorganic chlorine, sometimes referred to as Cly, describes a family of chemical species which result from the degradation of source gases containing chlorine (CFCs, HCFCs, VSLS) and natural inorganic chlorine sources such as seasaltand other aerosols.   Standard names that use the term inorganic_chlorine are used for quantities that contain all inorganic chlorine species including HCl and ClONO2. The phrase 'expressed_as' is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculatedsolely with respect to the B contained in A, neglecting all other chemical constituents ofA."
mole concentration of dichlorine peroxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_dichlorine_peroxide_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for dichlorine peroxide is Cl2O2."
mole concentration of dimethyl sulfide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_dimethyl_sulfide_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for dimethyl sulfide is (CH3)2S.  Dimethyl sulfide is sometimes referred to as DMS."
mole concentration of dinitrogen pentoxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_dinitrogen_pentoxide_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for dinitrogen pentoxide is N2O5."
mole concentration of ethane in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_ethane_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for ethane is C2H6. Ethane is a member of the group of hydrocarbons known as alkanes.There are standard names for the alkane group as well as for some of the individual species."
mole concentration of ethanol in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_ethanol_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for ethanol is C2H5OH."
mole concentration of ethene in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_ethene_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for ethene is C2H4. Ethene is a member of the group of hydrocarbons known as alkenes.There are standard names for the alkene group as well as for some of the individual species."
mole concentration of ethyne in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_ethyne_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for ethyne is HC2H.  Ethyne is the IUPAC name for this species, which is also commonlyknown as acetylene."
mole concentration of formaldehyde in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_formaldehyde_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for formaldehyde is CH2O. The IUPAC name for formaldehyde is methanal."
mole concentration of formic acid in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_formic_acid_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for formic acid is HCOOH.  The IUPAC name for formic acid is methanoic acid."
mole concentration of gaseous divalent mercury in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_gaseous_divalent_mercury_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Divalent mercury means all compounds in which the mercury has two binding sites to other ion(s)in a salt or to other atom(s) in a molecule."
mole concentration of gaseous elemental mercury in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_gaseous_elemental_mercury_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical symbol for mercury is Hg."
mole concentration of halon1202 in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_halon1202_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for halon1202 is CBr2F2. The IUPAC name for halon1202 is dibromo-difluoro-methane."
mole concentration of halon1211 in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_halon1211_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for halon1211 is CBrClF2. The IUPAC name for halon1211 is bromo-chloro-difluoro-methane."
